"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1993","66.096","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1994","68.551","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1995","68.693","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1996","68.934","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1997","67.701","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1998","65.4","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","1999","60.279","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2000","50.438","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2001","51.986","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2002","49.84","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2003","49.445","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2004","48.666","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2005","48.897","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2006","43.84","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2007","39.199","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2008","37.952","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2009","41.192","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2010","38.593","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2011","37.67","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2012","37.992","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2013","40.777","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2014","45.686","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2015","44.456","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2016","42.786","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2017","41.558","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2018","39.81","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2019","35.694","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2020","40.139","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2021","36.685","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2022","33.629","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2023","31.461","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2024","32.642","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2025","33.727","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2026","33.859","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2027","33.248","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2028","32.55","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2029","31.785","Units"
"Sweden","Gross debt, General government, Percent of GDP","Annual","2030","30.927","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1989","17.016","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1990","16.407","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1991","21.607","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1992","27.632","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1993","30.665","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1994","31.709","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1995","31.143","Units"
"Australia","Gross debt, General government, Percent of GDP","Annual","1996","29.345","Units"
