"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Ireland","Unemployment rate","Annual","1985","17.7","Units"
"Ireland","Unemployment rate","Annual","1986","18.1","Units"
"Ireland","Unemployment rate","Annual","1987","18.8","Units"
"Ireland","Unemployment rate","Annual","1988","18.4","Units"
"Ireland","Unemployment rate","Annual","1989","17.9","Units"
"Ireland","Unemployment rate","Annual","1990","17.2","Units"
"Ireland","Unemployment rate","Annual","1991","19","Units"
"Ireland","Unemployment rate","Annual","1992","16.3","Units"
"Ireland","Unemployment rate","Annual","1993","16.7","Units"
"Ireland","Unemployment rate","Annual","1994","15.1","Units"
"Ireland","Unemployment rate","Annual","1995","14.1","Units"
"Ireland","Unemployment rate","Annual","1996","11.8","Units"
"Ireland","Unemployment rate","Annual","1997","9.858","Units"
"Ireland","Unemployment rate","Annual","1998","7.55","Units"
"Ireland","Unemployment rate","Annual","1999","5.917","Units"
"Ireland","Unemployment rate","Annual","2000","4.383","Units"
"Ireland","Unemployment rate","Annual","2001","4.183","Units"
"Ireland","Unemployment rate","Annual","2002","4.733","Units"
"Ireland","Unemployment rate","Annual","2003","4.85","Units"
"Ireland","Unemployment rate","Annual","2004","4.75","Units"
"Ireland","Unemployment rate","Annual","2005","4.633","Units"
"Ireland","Unemployment rate","Annual","2006","4.767","Units"
"Ireland","Unemployment rate","Annual","2007","5.008","Units"
"Ireland","Unemployment rate","Annual","2008","6.8","Units"
"Ireland","Unemployment rate","Annual","2009","12.65","Units"
"Ireland","Unemployment rate","Annual","2010","14.608","Units"
"Ireland","Unemployment rate","Annual","2011","15.4","Units"
"Ireland","Unemployment rate","Annual","2012","15.492","Units"
"Ireland","Unemployment rate","Annual","2013","13.775","Units"
"Ireland","Unemployment rate","Annual","2014","11.892","Units"
"Ireland","Unemployment rate","Annual","2015","9.925","Units"
"Ireland","Unemployment rate","Annual","2016","8.375","Units"
"Ireland","Unemployment rate","Annual","2017","6.758","Units"
"Ireland","Unemployment rate","Annual","2018","5.808","Units"
"Ireland","Unemployment rate","Annual","2019","4.992","Units"
"Ireland","Unemployment rate","Annual","2020","5.842","Units"
"Ireland","Unemployment rate","Annual","2021","6.258","Units"
"Ireland","Unemployment rate","Annual","2022","4.467","Units"
"Ireland","Unemployment rate","Annual","2023","4.308","Units"
"Ireland","Unemployment rate","Annual","2024","4.3","Units"
"Ireland","Unemployment rate","Annual","2025","4.542","Units"
"Australia","Unemployment rate","Annual","1980","6.133","Units"
"Australia","Unemployment rate","Annual","1981","5.783","Units"
"Australia","Unemployment rate","Annual","1982","7.183","Units"
"Australia","Unemployment rate","Annual","1983","9.967","Units"
"Australia","Unemployment rate","Annual","1984","8.967","Units"
"Australia","Unemployment rate","Annual","1985","8.258","Units"
"Australia","Unemployment rate","Annual","1986","8.117","Units"
"Australia","Unemployment rate","Annual","1987","8.108","Units"
