STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,2009,,-2.12378430290231,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,2008,,-0.879954548170745,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,1995,,-1.94358356649316,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,1994,,1.01371966641304,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,1993,,1.03265855757501,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,1992,,-0.180818485388443,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,1991,,-1.88373711792322,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,2007,,0.102555534632862,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,2006,,-0.0787734076044904,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,EA17,Euro area (17 countries),NLGXQA,Cyclically-adjusted general government primary balance as a percentage of potential GDP,A,Annual,2005,,-0.183525870547414,,,,PT_PB1GQ,Percentage of potential GDP,0,Units,,,,,,,2,Two,,,C,"Trend-cycle, calendar adjusted"
