STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2014,,2.07170141666666,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2013,,3.18637683333334,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2000,,9.80361862876074,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,1999,,16.2427919407941,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,1998,,21.7253081208793,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,1997,,9.37249755925151,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,1996,,9.6669019802998,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2012,,4.55323091666667,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2011,,4.44820558333333,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2010,,3.87164658333333,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2009,,4.70651225,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2008,,4.72318268611634,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2007,,4.49072595625,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2006,,4.412181215625,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2005,,3.521579771875,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2004,,5.02614344166667,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2003,,4.98586583333333,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2002,,6.93437321914981,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2001,,8.04334925852322,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2026,,3.37125435497836,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2025,,3.31213476623377,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2024,,3.47346116666667,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2023,,3.64920191666667,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2022,,2.07405458333333,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2021,,-0.080235166666667,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2020,,-0.03828775,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2019,,0.24631075,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2018,,0.885511,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2017,,0.915360666666667,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,SVK,Slovak Republic,IRL,Long-term interest rate on government bonds,A,Annual,2016,,0.54440925,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.3),Economic Outlook 117,I,CZE,Czechia,IRL,Long-term interest rate on government bonds,A,Annual,2019,,1.54811600860504,,,,PO,Points,0,Units,,,,,,,2,Two,,,,
